PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Ilunga, Cedric; Mbayu, Faustin; Sabongo, Prosper; Ebuy, Jerome; Arenas-Castro, Salvador				Arenas-Castro, Salvador/I-4024-2013	Arenas-Castro, Salvador/0000-0001-8671-4968			Comparison of two ring measurement approaches using Geographic Information System (GIS) tools on high resolution tropical wood images								CANADIAN JOURNAL OF FOREST RESEARCH				48	12			1543	1553				10.1139/cjfr-2018-0178							Article	DEC 2018	2018										0	0	0	0	0	0	0			0045-5067	1208-6037											2018-12-28	WOS:000451385300012		
J	Jerardino, Antonieta; Navarro, Rene				Jerardino, Antonieta/K-3659-2014	Jerardino, Antonieta/0000-0002-0078-7718			LARGE-SCALE HUNTER-GATHERER EXPLOITATION OF MARINE RESOURCES IN SOUTH AFRICA, PART I: 'KREEFBAAI C' MEGAMIDDEN, LAMBERTS BAY AREA								SOUTH AFRICAN ARCHAEOLOGICAL BULLETIN				73	208			93	107											Article	DEC 2018	2018										7	0	0	0	1	0	7			0038-1969	2224-4654											2019-10-29	WOS:000491215100003		
J	Jerardino, Antonieta; Navarro, Rene				Jerardino, Antonieta/K-3659-2014	Jerardino, Antonieta/0000-0002-0078-7718			LARGE-SCALE HUNTER-GATHERER EXPLOITATION OF MARINE RESOURCES IN SOUTH AFRICA, PART II: GROOTRIF AND MALKOPPAN MEGAMIDDENS, LAMBERTS BAY AREA								SOUTH AFRICAN ARCHAEOLOGICAL BULLETIN				73	208			108	125											Article	DEC 2018	2018										9	0	0	0	2	0	9			0038-1969	2224-4654											2019-10-29	WOS:000491215100004		
J	Lucas, Christine; Puchi, Paulina; Profumo, Ludmila; Ferreira, Alex; Munoz, Ariel					Munoz Navarro, Ariel/0000-0002-1719-4900; Puchi, Paulina/0000-0001-5429-8605			Effect of climate on tree growth in the Pampa biome of Southeastern South America: First tree-ring chronologies from Uruguay								DENDROCHRONOLOGIA				52				113	122				10.1016/j.dendro.2018.10.004							Article	DEC 2018	2018										7	0	0	0	1	0	7			1125-7865	1612-0051											2018-12-28	WOS:000451071500013		
J	Mazow, Laura B.; Mitra, Siddhartha; Kimmel, David G.; Grieve, Susanne				Kimmel, David/AFM-9673-2022	Kimmel, David/0000-0001-7232-7801; Rawson, Susanne/0000-0003-1992-7669			Extraction and analysis of total lipids in late Iron Age Bath-shaped basins from the Levant as a means of assessing vessel function								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				22				193	201				10.1016/j.jasrep.2018.09.015							Article	DEC 2018	2018										0	0	0	0	0	0	0			2352-409X												2018-12-04	WOS:000450685000018		
J	Meister, Julia; Rettig, Robert; Schuett, Brigitta					Meister, Julia/0000-0003-1385-4112			Ancient runoff agriculture at Early Bronze Age Jawa (Jordan): Water availability, efficiency and food supply capacity								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				22				359	371				10.1016/j.jasrep.2016.06.033							Article	DEC 2018	2018										4	0	0	0	2	0	4			2352-409X												2018-12-28	WOS:000450685000033		
J	Mordhorst, Anneka; Zimmermann, Iris; Fleige, Heiner; Horn, Rainer				Horn, Rainer/AAC-1265-2021	Horn, Rainer/0000-0003-0734-5514			Improvement of oxygen transport functions in grave soils due to quicklime application depending on soil texture								GEODERMA				331				18	28				10.1016/j.geoderma.2018.06.013							Article	DEC 1 2018	2018										6	0	0	0	5	1	7			0016-7061	1872-6259											2018-08-02	WOS:000439675200003		
J	Nni, Roberta; Furlanetto, Giulia; Castellano, Lorenzo; Saliu, Francesco; Rizzi, Agostino; Tramelli, Andrea				saliu, francesco/AAS-7644-2020	Castellano, Lorenzo/0000-0003-4076-7145			Effects of stepped-combustion on fresh pollen grains: Morphoscopic, thermogravimetric, and chemical proxies for the interpretation of archeological charred assemblages								REVIEW OF PALAEOBOTANY AND PALYNOLOGY				259				142	158				10.1016/j.revpalbo.2018.10.005							Article	DEC 2018	2018										3	0	0	0	1	0	3			0034-6667	1879-0615											2019-01-04	WOS:000453622000014		
J	Orozco-Aguilar, Luis; Nitschke, Craig R.; Livesley, Stephen J.; Brack, Cris; Johnstone, Denise				Livesley, Stephen/L-4731-2019	Livesley, Stephen/0000-0003-3506-2458; Brack, Cris/0000-0001-5413-5793; Nitschke, Craig/0000-0003-2514-9744			Testing the accuracy of resistance drilling to assess tree growth rate and the relationship to past climatic conditions								URBAN FORESTRY & URBAN GREENING				36				1	12				10.1016/j.ufug.2018.09.010							Article	DEC 2018	2018										3	3	0	0	2	0	6			1618-8667	1610-8167											2018-12-28	WOS:000450123400001		
J	Pinheiro, Marc; Pagel, Holger; Poll, Christian; Ditterich, Franziska; Garnier, Patricia; Streck, Thilo; Kandeler, Ellen; Gonod, Laure Vieuble				P., Garnier/I-4249-2015; Pagel, Holger/ABI-1567-2020	Pagel, Holger/0000-0003-2424-351X; Streck, Thilo/0000-0001-7822-7588; Kandeler, Ellen/0000-0002-2854-0012; Poll, Christian/0000-0002-9674-4447			Water flow drives small scale biogeography of pesticides and bacterial pesticide degraders - A microcosm study using 2,4-D as a model compound								SOIL BIOLOGY & BIOCHEMISTRY				127				137	147				10.1016/j.soilbio.2018.09.024							Article	DEC 2018	2018										7	0	0	0	6	0	7			0038-0717	1879-3428											2018-12-28	WOS:000449895600016		
J	Presnyakova, Darya; Braun, David R.; Conard, Nicholas J.; Feibel, Craig; Harris, John W. K.; Pop, Cornel M.; Schlager, Stefan; Archer, Will				Conard, Nicholas/IAN-0808-2023; Pop, Cornel/ABC-8091-2021; Braun, David/C-9680-2009	Conard, Nicholas/0000-0002-4633-0385; Schlager, Stefan/0000-0001-6493-9250; Archer, Will/0000-0003-1174-0605; Pop, Cornel/0000-0002-1462-3677			Site fragmentation, hominin mobility and LCT variability reflected in the early Acheulean record of the Okote Member, at Koobi Fora, Kenya								JOURNAL OF HUMAN EVOLUTION				125				159	180				10.1016/j.jhevol.2018.07.008							Article	DEC 2018	2018										32	1	0	0	11	0	33			0047-2484	1095-8606											2019-01-10	WOS:000454465100014	30268405	
J	Rabbel, Inken; Neuwirth, Burkhard; Bogena, Heye; Diekkrueger, Bernd				Bogena, Heye/AAD-5653-2022; Diekkrüger, Bernd/D-9410-2013	Bogena, Heye/0000-0001-9974-6686; Diekkrüger, Bernd/0000-0001-9234-7850; Neuwirth, Burkhard/0000-0001-7473-462X			Exploring the growth response of Norway spruce (Picea abies) along a small-scale gradient of soil water supply								DENDROCHRONOLOGIA				52				123	130				10.1016/j.dendro.2018.10.007							Article	DEC 2018	2018										11	0	0	0	6	0	11			1125-7865	1612-0051											2018-12-28	WOS:000451071500014		
J	Rahman, Mizanur; Islam, Mahmuda; Wernicke, Jakob; Braeuning, Achim				Rahman, Mizanur/B-4111-2019; Wernicke, Jakob/GZG-3303-2022; Rahman, Mizanur/O-3258-2019	Rahman, Mizanur/0000-0001-9011-2011; Wernicke, Jakob/0000-0002-8503-0588			Changes in Sensitivity of Tree-Ring Widths to Climate in a Tropical Moist Forest Tree in Bangladesh								FORESTS				9	12					761			10.3390/f9120761							Article	DEC 2018	2018										18	0	0	0	11	1	18				1999-4907											2019-01-22	WOS:000455069600033		
J	Roberts, Patrick; Stewart, Mathew; Alagaili, Abdulaziz N.; Breeze, Paul; Candy, Ian; Drake, Nick; Groucutt, Huw S.; Scerri, Eleanor M. L.; Lee-Thorp, Julia; Louys, Julien; Zalmout, Iyad S.; Al-Mufarreh, Yahya S. A.; Zech, Jana; Alsharekh, Abdullah M.; al Omari, Abdulaziz; Boivin, Nicole; Petraglia, Michael				Alsharekh, Abdullah M/AAH-3718-2019; Louys, Julien/GLN-6714-2022; Petraglia, Michael/ABA-9748-2021; Scerri, Eleanor/AHC-6769-2022; Groucutt, Huw/GNM-5500-2022; Roberts, Patrick J/L-2232-2013; Alagaili, Abdulaziz/C-4278-2018	Scerri, Eleanor/0000-0002-7468-9977; Roberts, Patrick J/0000-0002-5862-1016; Stewart, Mathew/0000-0002-0413-8133; Alagaili, Abdulaziz/0000-0002-9733-4220; Louys, Julien/0000-0001-7539-0689; BOIVIN, NICOLE/0000-0002-7783-4199; Roberts, Patrick/0000-0002-4403-7548; Petraglia, Michael/0000-0003-2522-5727; Breeze, Paul/0000-0003-2575-8021			Fossil herbivore stable isotopes reveal middle Pleistocene hominin palaeoenvironment in 'Green Arabia'								NATURE ECOLOGY & EVOLUTION				2	12			1871	1878				10.1038/s41559-018-0698-9							Article	DEC 2018	2018										26	0	0	0	11	0	26			2397-334X												2018-12-28	WOS:000450904100014	30374171	
J	Robinson, Joshua R.; Wadley, Lyn				Wadley, Lyn/AAC-6577-2022				Stable isotope evidence for (mostly) stable local environments during the South African Middle Stone Age from Sibudu, KwaZulu-Natal								JOURNAL OF ARCHAEOLOGICAL SCIENCE				100				32	44				10.1016/j.jas.2018.10.002							Article	DEC 2018	2018										14	0	0	0	3	0	14			0305-4403	1095-9238											2018-12-28	WOS:000452580000003		
J	Salazar, Pablo C.; Navarro-Cerrillo, Rafael M.; Ancajima, Edwin; Duque Lazo, Joaquin; Rodriguez, Rodolfo; Ghezzi, Ivan; Mabres, Antonio				Ghezzi, Ivan/ABC-1026-2021; Salazar Zarzosa, Pablo Cesar Cesar Salazar/AAX-6646-2021; Duque-Lazo, Joaquín/L-3722-2019; Navarro-Cerrillo, Rafael M/AAG-5872-2019; Rodriguez, Rodolfo/GXH-3933-2022	Ghezzi, Ivan/0000-0002-7006-307X; Duque-Lazo, Joaquín/0000-0003-4223-5070; rodriguez, rodolfo/0000-0002-5415-7404; Mabres, Antonio/0000-0002-9209-3771			Effect of climate and ENSO events on Prosopis pallida forests along a climatic gradient								FORESTRY				91	5			552	562				10.1093/forestry/cpy014							Article	DEC 2018	2018										10	0	0	0	9	1	11			0015-752X	1464-3626											2018-12-28	WOS:000452921900002		
J	Shen, Zhongwei; Liu, Jianbao; Xie, Chengling; Zhang, Xiaosen; Chen, Fahu				Liu, jianbao/X-3646-2019; Fahu, Chen/B-2788-2011	Chen, Fahu/0000-0002-8874-1035; Zhang, Xiaosen/0000-0002-8069-8095			An environmental perturbation at AD 600 and subsequent human impacts recorded by multi-proxy records from the sediments of Lake Mayinghai, North China								HOLOCENE				28	12			1870	1880				10.1177/0959683618798159							Article	DEC 2018	2018										10	1	0	0	3	0	10			0959-6836	1477-0911											2018-12-28	WOS:000450145600003		
